Group	N	Pfsa1_alt_frequency	Pfsa3_alt_frequency	Joint_alt_frequency	D	D_max	D_prime	r_squared
All	700	0.281428571428571	0.302857142857143	0.274285714285714	0.18905306122449	0.196195918367347	0.963593242905884	0.837085258729035
HbAA	528	0.0681818181818182	0.0814393939393939	0.0587121212121212	0.053159435261708	0.062629132231405	0.848797250859107	0.594591381061258
HbAS	171	0.935672514619883	0.982456140350877	0.935672514619883	0.0164153072740331	0.0164153072740331	0.999999999999999	0.25974025974026
